x,y,width,height,attempt,log_attempt,made,miss,made2,made3,miss2,miss3
50,21,1,1,2,0.3010299956639812,0,2,0,0,0,2
51,21,1,1,1,0.0,0,1,0,0,0,1
57,21,1,1,1,0.0,0,1,0,0,0,1
60,21,1,1,1,0.0,0,1,0,0,0,1
87,21,1,1,1,0.0,0,1,0,0,0,1
19,22,1,1,1,0.0,0,1,0,0,0,1
23,22,1,1,1,0.0,0,1,0,0,0,1
24,22,1,1,1,0.0,1,0,0,1,0,0
26,22,1,1,1,0.0,0,1,0,0,0,1
29,22,1,1,1,0.0,0,1,0,0,0,1
44,22,1,1,1,0.0,0,1,0,0,0,1
50,22,1,1,1,0.0,0,1,0,0,0,1
51,22,1,1,3,0.47712125471966244,2,1,0,2,0,1
52,22,1,1,3,0.47712125471966244,1,2,0,1,0,2
56,22,1,1,1,0.0,0,1,0,0,0,1
60,22,1,1,1,0.0,0,1,0,0,0,1
63,22,1,1,1,0.0,1,0,0,1,0,0
67,22,1,1,1,0.0,1,0,0,1,0,0
73,22,1,1,1,0.0,0,1,0,0,0,1
77,22,1,1,1,0.0,0,1,0,0,0,1
78,22,1,1,1,0.0,0,1,0,0,0,1
80,22,1,1,1,0.0,0,1,0,0,0,1
83,22,1,1,1,0.0,0,1,0,0,0,1
27,23,1,1,1,0.0,1,0,0,1,0,0
36,23,1,1,1,0.0,0,1,0,0,0,1
42,23,1,1,1,0.0,0,1,0,0,0,1
44,23,1,1,1,0.0,0,1,0,0,0,1
48,23,1,1,1,0.0,0,1,0,0,0,1
49,23,1,1,3,0.47712125471966244,1,2,0,1,0,2
50,23,1,1,1,0.0,0,1,0,0,0,1
51,23,1,1,3,0.47712125471966244,1,2,0,1,0,2
52,23,1,1,1,0.0,0,1,0,0,0,1
53,23,1,1,3,0.47712125471966244,0,3,0,0,0,3
55,23,1,1,1,0.0,0,1,0,0,0,1
56,23,1,1,1,0.0,0,1,0,0,0,1
57,23,1,1,1,0.0,0,1,0,0,0,1
58,23,1,1,1,0.0,0,1,0,0,0,1
60,23,1,1,1,0.0,1,0,0,1,0,0
64,23,1,1,1,0.0,0,1,0,0,0,1
